Auteur ou autrice,Genre,Feuille,Jeu de données,Nom normalisé,data_id,dataset_id_FK,author_id_FK,year,details,src,id_bnf,id_wikidata,id_isni,gender,pseudonym,first_name,last_name,date_of_birth,date_of_death,birth_location,death_location,birth_coordinates,death_coordinates,url_ville
Buffon,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Buffon,1549,9,229264,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,11894464v,229264,0000 0001 2100 6442,masculin,,,,1707-09-07T00:00:00Z,1788-04-16T00:00:00Z,Montbard,Paris,4.336944444 47.623055555,2.351388888 48.856944444,http://www.montbard.com
Vauvenargues,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,"Luc de Clapiers, marquis de Vauvenargues",1550,9,551730,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,120135958,551730,0000 0001 2136 387X,masculin,,,,1715-08-06T00:00:00Z,1747-05-28T00:00:00Z,Aix-en-Provence,Paris,5.445555555 43.527777777,2.351388888 48.856944444,http://www.mairie-aixenprovence.fr
Jean-Jacques Rousseau,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Jean-Jacques Rousseau,1551,9,6527,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,119228797,6527,0000 0001 2145 1116,masculin,,,,1712-06-28T00:00:00Z,1778-07-02T00:00:00Z,Genève,Ermenonville,6.15 46.2,2.695833333 49.126111111,https://www.geneve.ch
Bernardin de Saint-Pierre,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Jacques-Henri Bernardin de Saint-Pierre,1552,9,361976,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,119233929,361976,0000 0001 2134 8098,masculin,,,,1737-01-19T00:00:00Z,1814-01-21T00:00:00Z,Le Havre,Éragny,0.108055555 49.494166666,2.091388888 49.017222222,http://lehavre.fr
Jean-Baptiste Rousseau,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Jean-Baptiste Rousseau,1553,9,471026,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,11995357q,471026,0000 0001 2095 992X,masculin,,,,1671-04-06T00:00:00Z,1741-03-17T00:00:00Z,Paris,Bruxelles,2.351388888 48.856944444,4.3525 50.846666666,https://www.paris.fr/
Jean-Jacques Le Franc de Pompignan,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Jean-Jacques Lefranc de Pompignan,1554,9,1393531,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,12061916s,1393531,0000 0000 8117 9698,masculin,,,,1709-08-10T00:00:00Z,1784-11-01T00:00:00Z,Montauban,Pompignan,1.355 44.017222222,1.3125 43.816944444,http://www.montauban.com
Jacques Delille,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Jacques Delille,1555,9,981922,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,11899354g,981922,0000 0001 2280 5414,masculin,,,,1738-06-22T00:00:00Z,1813-05-01T00:00:00Z,Clermont-Ferrand,Paris,3.086944444 45.779722222,2.351388888 48.856944444,https://clermont-ferrand.fr
Lebrun,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Albert Lebrun,1556,9,158749,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,13994781q,158749,0000 0001 1743 3118,masculin,,,,1871-01-01T00:00:00Z,1950-01-01T00:00:00Z,Mercy-le-Haut,16e arrondissement de Paris,5.825555555 49.367777777,2.276488888 48.863611111,
Gilbert,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Nicolas Gilbert,1557,9,1393327,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,12096444g,1393327,0000 0001 1028 2249,masculin,,,,1750-12-15T00:00:00Z,1780-11-16T00:00:00Z,Fontenoy-le-Château,Paris,6.199166666 47.973611111,2.351388888 48.856944444,
André Chénier,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,André Chénier,1558,9,295548,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,12094849t,295548,0000 0001 2128 8574,masculin,,,,1762-10-30T00:00:00Z,1794-07-25T00:00:00Z,Istanbul,Paris,28.960277777 41.01,2.351388888 48.856944444,https://www.ibb.istanbul/en
Beaumarchais,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Pierre-Augustin Caron de Beaumarchais,1559,9,70326,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,118908133,70326,0000 0001 0882 9874,masculin,,,,1732-01-24T00:00:00Z,1799-05-18T00:00:00Z,Paris,Paris,2.351388888 48.856944444,2.351388888 48.856944444,https://www.paris.fr/
Mirabeau,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Honoré-Gabriel Riqueti de Mirabeau,1560,9,218747,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,11916253n,218747,0000 0001 1031 0991,masculin,,,,1749-03-09T00:00:00Z,1791-04-02T00:00:00Z,Le Bignon-Mirabeau,Paris,2.922777777 48.148055555,2.351388888 48.856944444,http://lebignonmirabeau.com
Vergniaud,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Pierre Victurnien Vergniaud,1561,9,747460,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,12456609c,747460,0000 0000 8342 3391,masculin,,,,1753-05-31T00:00:00Z,1793-10-31T00:00:00Z,Limoges,Paris,1.261666666 45.834444444,2.351388888 48.856944444,http://www.ville-limoges.fr
Danton,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Georges Jacques Danton,1562,9,184623,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,12198548s,184623,0000 0001 0918 4393,masculin,,,,1759-10-26T00:00:00Z,1794-04-05T00:00:00Z,Arcis-sur-Aube,Paris,4.138888888 48.533888888,2.351388888 48.856944444,http://www.arcis-sur-aube.com/
Robespierre,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Maximilien de Robespierre,1563,9,44197,1975,"Bordas - Lagarde & Michard, XVIIIe siècle",,11922216p,44197,0000 0001 1030 8146,masculin,,,,1758-05-06T00:00:00Z,1794-07-28T00:00:00Z,Arras,Paris,2.78 50.289166666,2.351388888 48.856944444,http://www.arras.fr
Martin Luther,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Martin Luther,1564,9,9554,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119136609,9554,0000 0001 2121 4073,masculin,,,,1483-11-19T00:00:00Z,1546-02-28T00:00:00Z,Eisleben,Eisleben,11.55 51.516666666,11.55 51.516666666,https://www.eisleben.eu/
Germaine de Staël,F,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Germaine de Staël,1565,9,123041,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11925397h,123041,0000 0001 2259 1946,féminin,,,,1766-04-22T00:00:00Z,1817-07-14T00:00:00Z,Paris,Paris,2.351388888 48.856944444,2.351388888 48.856944444,https://www.paris.fr/
Benjamin Constant,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Benjamin Constant,1566,9,123089,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11886006v,123089,0000 0001 2130 6883,masculin,,,,1767-10-25T00:00:00Z,1830-12-08T00:00:00Z,Lausanne,Paris,6.633333333 46.533333333,2.351388888 48.856944444,http://www.lausanne.ch
Étienne Pivert de Senancour,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Étienne Pivert de Senancour,1567,9,290070,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11924404q,290070,0000 0001 0858 052X,masculin,,,,1770-11-16T00:00:00Z,1846-01-10T00:00:00Z,Paris,Saint-Cloud,2.351388888 48.856944444,2.215277777 48.846388888,https://www.paris.fr/
François René de Chateaubriand,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,François-René de Chateaubriand,1568,9,49767,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11896324t,49767,0000 0001 2119 2089,masculin,,,,1768-09-04T00:00:00Z,1848-07-04T00:00:00Z,Saint-Malo,Paris,-2.008888888 48.647222222,2.351388888 48.856944444,http://www.ville-saint-malo.fr
Alphonse de Lamartine,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Alphonse de Lamartine,1569,9,188697,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119108008,188697,0000 0001 2144 1161,masculin,,,,1790-10-21T00:00:00Z,1869-02-28T00:00:00Z,Mâcon,Paris,4.831944444 46.306666666,2.351388888 48.856944444,http://www.macon.fr
Alfred de Vigny,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Alfred de Vigny,1570,9,309702,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119283183,309702,0000 0001 2100 8624,masculin,,,,1797-03-27T00:00:00Z,1863-09-17T00:00:00Z,Loches,Paris,0.995277777 47.128611111,2.351388888 48.856944444,https://www.ville-loches.fr/
Victor Hugo,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Victor Hugo,1571,9,535,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11907966z,535,0000 0001 2120 0982,masculin,,,,1802-02-26T00:00:00Z,1885-05-22T00:00:00Z,Besançon,Paris,6.021388888 47.242222222,2.351388888 48.856944444,http://www.besancon.fr
Alfred de Musset,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Alfred de Musset,1572,9,179680,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119172903,179680,0000 0001 2133 4059,masculin,,,,1810-12-11T00:00:00Z,1857-05-02T00:00:00Z,Paris,Paris,2.351388888 48.856944444,2.351388888 48.856944444,https://www.paris.fr/
Théophile Gautier,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Théophile Gautier,1573,9,183713,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11904435k,183713,0000 0001 0786 6489,masculin,,,,1811-08-30T00:00:00Z,1872-10-23T00:00:00Z,Tarbes,Neuilly-sur-Seine,0.074444444 43.232777777,2.2675 48.887222222,http://www.tarbes.fr
Gérard de Nerval,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Gérard de Nerval,1574,9,191305,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11887103b,191305,0000 0001 2124 3763,masculin,,,,1808-05-22T00:00:00Z,1853-01-26T00:00:00Z,Paris,Paris,2.351388888 48.856944444,2.351388888 48.856944444,https://www.paris.fr/
Marceline Desbordes-Valmore,F,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Marceline Desbordes-Valmore,1575,9,466987,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11899760h,466987,0000 0001 0876 1021,féminin,,,,1786-06-20T00:00:00Z,1859-07-23T00:00:00Z,Douai,Paris,3.079166666 50.370833333,2.351388888 48.856944444,http://www.ville-douai.fr
Sainte-Beuve,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Charles-Augustin Sainte-Beuve,1576,9,1063392,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119234123,1063392,0000 0001 2134 0360,masculin,,,,1804-12-23T00:00:00Z,1869-10-13T00:00:00Z,Boulogne-sur-Mer,Paris,1.613888888 50.725555555,2.351388888 48.856944444,http://www.ville-boulogne-sur-mer.fr
Maurice de Guérin,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Maurice de Guérin,1577,9,551574,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11906176t,551574,0000 0001 2145 0869,masculin,,,,1810-08-04T00:00:00Z,1839-07-19T00:00:00Z,Andillac,Andillac,1.890833333 43.998888888,1.890833333 43.998888888,
Félicité de Lamennais,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Félicité de La Mennais,1578,9,334973,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11910852h,334973,0000 0001 2134 0088,masculin,,,,1782-06-19T00:00:00Z,1854-02-27T00:00:00Z,Saint-Malo,Paris,-2.008888888 48.647222222,2.351388888 48.856944444,http://www.ville-saint-malo.fr
George Sand,F,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,George Sand,1579,9,3816,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119236010,3816,0000 0001 2130 9531,féminin,,,,1804-07-01T00:00:00Z,1876-06-08T00:00:00Z,Paris,Nohant-Vic,2.351388888 48.856944444,1.96 46.638611111,https://www.paris.fr/
Honoré de Balzac,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Honoré de Balzac,1580,9,9711,1965,"Bordas - Lagarde & Michard, XIXe siècle",,118900414,9711,0000 0001 2347 8072,masculin,,,,1799-05-20T00:00:00Z,1850-08-18T00:00:00Z,Tours,Paris,0.688333333 47.392777777,2.351388888 48.856944444,http://www.tours.fr/
Stendhal,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Stendhal,1581,9,502,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119255047,502,0000 0001 2098 1326,masculin,,,,1783-01-23T00:00:00Z,1842-03-23T00:00:00Z,Grenoble,Paris,5.726388888 45.186944444,2.351388888 48.856944444,http://www.grenoble.fr
Prosper Mérimée,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Prosper Mérimée,1582,9,160333,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11915671f,160333,0000 0001 2130 2532,masculin,,,,1803-09-28T00:00:00Z,1870-09-23T00:00:00Z,Paris,Cannes,2.351388888 48.856944444,7.021388888 43.5525,https://www.paris.fr/
Augustin Thierry,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Augustin Thierry,1583,9,381092,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11926433s,381092,0000 0001 2128 7846,masculin,,,,1795-05-10T00:00:00Z,1856-05-22T00:00:00Z,Blois,Paris,1.327222222 47.593055555,2.351388888 48.856944444,https://www.blois.fr/
Alexis de Tocqueville,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Alexis de Tocqueville,1584,9,140694,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119267448,140694,0000 0001 2137 1933,masculin,,,,1805-07-29T00:00:00Z,1859-04-16T00:00:00Z,Paris,Cannes,2.351388888 48.856944444,7.021388888 43.5525,https://www.paris.fr/
Jules Michelet,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Jules Michelet,1585,9,310791,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11916021g,310791,0000 0001 2129 6398,masculin,,,,1798-08-21T00:00:00Z,1874-02-09T00:00:00Z,Paris,Hyères,2.351388888 48.856944444,6.128611111 43.118888888,https://www.paris.fr/
Fustel de Coulanges,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Numa Denis Fustel de Coulanges,1586,9,462597,1965,"Bordas - Lagarde & Michard, XIXe siècle",,12299407b,462597,0000 0001 0930 5562,masculin,,,,1830-03-18T00:00:00Z,1889-09-12T00:00:00Z,Paris,Massy,2.351388888 48.856944444,2.276388888 48.730555555,https://www.paris.fr/
Ernest Renan,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Ernest Renan,1587,9,157155,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119214865,157155,0000 0001 2283 4194,masculin,,,,1823-02-28T00:00:00Z,1892-10-02T00:00:00Z,Tréguier,Paris,-3.2325 48.785,2.351388888 48.856944444,http://www.ville-treguier.fr
Hippolyte Taine,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Hippolyte Taine,1588,9,297726,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11925938n,297726,0000 0001 2117 8586,masculin,,,,1828-04-21T00:00:00Z,1893-03-05T00:00:00Z,Vouziers,Paris,4.701111111 49.398055555,2.351388888 48.856944444,http://www.ville-vouziers.fr
Leconte de Lisle,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Leconte de Lisle,1589,9,309704,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119120027,309704,0000 0001 2280 8930,masculin,,,,1818-10-22T00:00:00Z,1894-07-17T00:00:00Z,Saint-Paul,Louveciennes,55.269722222 -21.009722222,2.116388888 48.860277777,https://www.mairie-saintpaul.re/
Théodore de Banville,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Théodore de Banville,1590,9,312630,1965,"Bordas - Lagarde & Michard, XIXe siècle",,118900832,312630,0000 0000 8339 6506,masculin,,,,1823-03-14T00:00:00Z,1891-03-13T00:00:00Z,Moulins,Paris,3.3325 46.564722222,2.351388888 48.856944444,http://www.ville-moulins.fr
José-Maria de Heredia,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,José-Maria de Heredia,1591,9,334970,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11907327d,334970,0000 0001 2144 1639,masculin,,,,1842-11-22T00:00:00Z,1905-10-03T00:00:00Z,Santiago de Cuba,Bourdonné,-75.820555555 20.028333333,1.663333333 48.755833333,
Sully Prudhomme,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Sully Prudhomme,1592,9,42247,1965,"Bordas - Lagarde & Michard, XIXe siècle",,12496761k,42247,0000 0001 2143 0323,masculin,,,,1839-03-16T00:00:00Z,1907-09-07T00:00:00Z,Paris,Châtenay-Malabry,2.351388888 48.856944444,2.278055555 48.765277777,https://www.paris.fr/
François Coppée,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,François Coppée,1593,9,380277,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11897612w,380277,0000 0001 2130 911X,masculin,,,,1842-01-12T00:00:00Z,1908-05-23T00:00:00Z,Paris,Paris,2.351388888 48.856944444,2.351388888 48.856944444,https://www.paris.fr/
Charles Baudelaire,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Charles Baudelaire,1594,9,501,1965,"Bordas - Lagarde & Michard, XIXe siècle",,118905823,501,0000 0001 2122 1863,masculin,,,,1821-04-09T00:00:00Z,1867-08-30T00:00:00Z,Paris,Paris,2.351388888 48.856944444,2.351388888 48.856944444,https://www.paris.fr/
Gustave Flaubert,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Gustave Flaubert,1595,9,43444,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11902894q,43444,0000 0001 2276 2442,masculin,,,,1821-12-12T00:00:00Z,1880-05-08T00:00:00Z,Rouen,Croisset,1.1025 49.443055555,1.038423 49.441329,http://www.rouen.fr
Edmond de Goncourt,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Edmond de Goncourt,1596,9,1249210,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11886441g,1249210,0000 0001 2101 4100,masculin,,,,1822-05-26T00:00:00Z,1896-07-16T00:00:00Z,Nancy,maison d'Alphonse Daudet,6.183611111 48.692777777,2.40815 48.6854,http://www.nancy.fr
Jules de Goncourt,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Jules de Goncourt,1597,9,1234248,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11886442t,1234248,0000 0001 1680 0940,masculin,,,,1830-12-17T00:00:00Z,1870-06-20T00:00:00Z,Paris,Paris,2.351388888 48.856944444,2.351388888 48.856944444,https://www.paris.fr/
Émile Zola,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Émile Zola,1598,9,504,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119297200,504,0000 0001 2095 8660,masculin,,,,1840-04-02T00:00:00Z,1902-09-29T00:00:00Z,rue Saint-Joseph,Paris,2.34444 48.8685,2.351388888 48.856944444,
Guy de Maupassant,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Guy de Maupassant,1599,9,9327,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11915226h,9327,0000 0001 2125 8201,masculin,,,,1850-08-05T00:00:00Z,1893-07-06T00:00:00Z,Tourville-sur-Arques,Passy,1.101388888 49.858333333,2.284136111 48.857111111,http://www.tourville-sur-arques.fr
Alphonse Daudet,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Alphonse Daudet,1600,9,228546,1965,"Bordas - Lagarde & Michard, XIXe siècle",,118987232,228546,0000 0001 2118 4572,masculin,,,,1840-05-13T00:00:00Z,1897-12-16T00:00:00Z,Nîmes,Paris,4.36 43.836944444,2.351388888 48.856944444,http://www.nimes.fr
Paul Verlaine,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Paul Verlaine,1601,9,755,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119279849,755,0000 0001 2118 5217,masculin,,,,1844-03-30T00:00:00Z,1896-01-08T00:00:00Z,Metz,Paris,6.176944444 49.119722222,2.351388888 48.856944444,http://www.metz.fr
Arthur Rimbaud,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Arthur Rimbaud,1602,9,493,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119219976,493,0000 0001 2119 2660,masculin,,,,1854-10-20T00:00:00Z,1891-11-10T00:00:00Z,Charleville,Marseille,4.7200227 49.772479,5.376388888 43.296666666,
Stéphane Mallarmé,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Stéphane Mallarmé,1603,9,767,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11914131k,767,0000 0001 2132 6470,masculin,,,,1842-03-18T00:00:00Z,1898-09-09T00:00:00Z,Paris,Fontainebleau,2.351388888 48.856944444,2.701666666 48.408888888,https://www.paris.fr/
Jules Laforgue,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Jules Laforgue,1604,9,380275,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119106252,380275,0000 0001 0886 1823,masculin,,,,1860-08-16T00:00:00Z,1887-08-20T00:00:00Z,Montevideo,Paris,-56.166666666 -34.866666666,2.351388888 48.856944444,http://www.montevideo.gub.uy
Albert Samain,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Albert Samain,1605,9,982041,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11923550x,982041,0000 0001 2133 4171,masculin,,,,1858-04-03T00:00:00Z,1900-08-18T00:00:00Z,Lille,Magny-les-Hameaux,3.0575 50.631944444,2.084166666 48.723888888,http://www.lille.fr
Jean Moréas,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Jean Moréas,1606,9,353857,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11916749s,353857,0000 0001 0857 2909,masculin,,,,1856-04-15T00:00:00Z,1910-04-30T00:00:00Z,Athènes,Saint-Mandé,23.728055555 37.984166666,2.417777777 48.841388888,https://www.cityofathens.gr/
Eugène Fromentin,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Eugène Fromentin,1607,9,353746,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11903671r,353746,0000 0001 0911 7772,masculin,,,,1820-10-24T00:00:00Z,1876-08-27T00:00:00Z,La Rochelle,La Rochelle,-1.151388888 46.159444444,-1.151388888 46.159444444,https://www.larochelle.fr/
Joris-Karl Huysmans,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Joris-Karl Huysmans,1608,9,210798,1965,"Bordas - Lagarde & Michard, XIXe siècle",,119081184,210798,0000 0001 2129 6267,masculin,,,,1848-02-05T00:00:00Z,1907-05-12T00:00:00Z,Paris,Paris,2.351388888 48.856944444,2.351388888 48.856944444,https://www.paris.fr/
Alexandre Dumas Fils,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Alexandre Dumas fils,1609,9,169150,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11901062n,169150,0000 0004 4458 3295,masculin,,,,1824-07-27T00:00:00Z,1895-11-27T00:00:00Z,Paris,Marly-le-Roi,2.351388888 48.856944444,2.094166666 48.866944444,https://www.paris.fr/
Henry Becque,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Henry Becque,1610,9,1153820,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11890904d,1153820,0000 0001 1042 1907,masculin,,,,1837-04-18T00:00:00Z,1899-05-12T00:00:00Z,Paris,Neuilly-sur-Seine,2.351388888 48.856944444,2.2675 48.887222222,https://www.paris.fr/
Maurice Maeterlinck,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Maurice Maeterlinck,1611,9,49747,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11913865k,49747,0000 0001 2098 4308,masculin,,,,1862-08-29T00:00:00Z,1949-05-06T00:00:00Z,Gand,Nice,3.725277777 51.053611111,7.268333333 43.701944444,https://stad.gent
Anatole France,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Anatole France,1612,9,42443,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11886331w,42443,0000 0001 2118 4329,masculin,,,,1844-04-16T00:00:00Z,1924-10-12T00:00:00Z,Paris,manoir de la Béchellerie,2.351388888 48.856944444,0.6558 47.4107,https://www.paris.fr/
Pierre Loti,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Pierre Loti,1613,9,311854,1965,"Bordas - Lagarde & Michard, XIXe siècle",,11913405m,311854,0000 0001 2102 9636,masculin,,,,1850-01-14T00:00:00Z,1923-06-10T00:00:00Z,Rochefort,Hendaye,-0.966944444 45.941944444,-1.774444444 43.358611111,http://www.ville-rochefort.fr
Émile Verhaeren,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Émile Verhaeren,1614,9,193680,1966,"Bordas - Lagarde & Michard, XXe siècle",,11927975b,193680,0000 0001 2277 6684,masculin,,,,1855-05-21T00:00:00Z,1916-11-27T00:00:00Z,Saint-Amand,Rouen,4.205 51.0525,1.1025 49.443055555,http://www.sint-amands.be
Maurice Maeterlinck,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Maurice Maeterlinck,1615,9,49747,1966,"Bordas - Lagarde & Michard, XXe siècle",,11913865k,49747,0000 0001 2098 4308,masculin,,,,1862-08-29T00:00:00Z,1949-05-06T00:00:00Z,Gand,Nice,3.725277777 51.053611111,7.268333333 43.701944444,https://stad.gent
Henri de Régnier,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Henri de Régnier,1616,9,561510,1966,"Bordas - Lagarde & Michard, XXe siècle",,11921397j,561510,0000 0001 2122 9638,masculin,,,,1864-12-28T00:00:00Z,1936-05-23T00:00:00Z,Honfleur,Paris,0.233055555 49.418888888,2.351388888 48.856944444,http://www.ville-honfleur.fr
Francis Jammes,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Francis Jammes,1617,9,353873,1966,"Bordas - Lagarde & Michard, XXe siècle",,119085574,353873,0000 0001 2137 1714,masculin,,,,1868-12-02T00:00:00Z,1938-11-01T00:00:00Z,Tournay,Hasparren,0.245555555 43.184166666,-1.304722222 43.384444444,
Paul Fort,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Paul Fort,1618,9,561724,1966,"Bordas - Lagarde & Michard, XXe siècle",,11903157t,561724,0000 0001 1947 7595,masculin,,,,1872-02-01T00:00:00Z,1960-04-20T00:00:00Z,Reims,Montlhéry,4.028611111 49.265277777,2.272222222 48.638611111,http://www.reims.fr
Saint-Pol-Roux,M,autrices-auteurs-manuels-scolaires,Anthologies littéraires scolaires,Saint-Pol-Roux,1619,9,2097468,1966,"Bordas - Lagarde & Michard, XXe siècle",,118874511,2097468,0000 0001 0804 038X,masculin,,,,1861-01-15T00:00:00Z,1940-10-18T00:00:00Z,Marseille,Brest,5.376388888 43.296666666,-4.486944444 48.39,http://www.marseille.fr
